dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,2,v1_lda,max-prob,0.5,0.5,0.5495862589746021,0.5972222222222222,0.4027777777777778,144
BCI_IV_2a,2,v1_lda,max-prob,0.5520833333333334,0.55,0.5437045517741088,0.6352201257861636,0.36477987421383645,159
BCI_IV_2a,2,v1_lda,max-prob,0.6006944444444444,0.6,0.5384421341504679,0.653179190751445,0.3468208092485549,173
BCI_IV_2a,2,v1_lda,max-prob,0.6527777777777778,0.65,0.5335056699725763,0.6542553191489362,0.34574468085106386,188
BCI_IV_2a,2,v1_lda,max-prob,0.7013888888888888,0.7,0.5288197433699675,0.6633663366336633,0.33663366336633666,202
BCI_IV_2a,2,v1_lda,max-prob,0.75,0.75,0.5220891082151187,0.6805555555555556,0.3194444444444444,216
BCI_IV_2a,2,v1_lda,max-prob,0.8020833333333334,0.8,0.5136545545131977,0.6926406926406927,0.30735930735930733,231
BCI_IV_2a,2,v1_lda,max-prob,0.8506944444444444,0.85,0.5063995959180524,0.7102040816326531,0.2897959183673469,245
BCI_IV_2a,2,v1_lda,max-prob,0.9027777777777778,0.9,0.49456688687914063,0.7230769230769231,0.27692307692307694,260
BCI_IV_2a,2,v1_lda,max-prob,0.9513888888888888,0.95,0.48173945085997927,0.7372262773722628,0.26277372262773724,274
BCI_IV_2a,2,v1_lda,max-prob,1.0,1.0,0.4466662721267816,0.75,0.25,288
BCI_IV_2a,3,v1_lda,max-prob,0.052083333333333336,0.05,0.8256026253891373,0.0,1.0,15
BCI_IV_2a,3,v1_lda,max-prob,0.10069444444444445,0.1,0.7849570237955671,0.0,1.0,29
BCI_IV_2a,3,v1_lda,max-prob,0.1527777777777778,0.15,0.7662058328876215,0.022727272727272707,0.9772727272727273,44
BCI_IV_2a,3,v1_lda,max-prob,0.2013888888888889,0.2,0.7441402067953465,0.017241379310344862,0.9827586206896551,58
BCI_IV_2a,3,v1_lda,max-prob,0.25,0.25,0.7166664095267846,0.02777777777777779,0.9722222222222222,72
