dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
BCI_IV_2a,5,EEGNet,0.35,0.7673611111111112,0.579185520361991,0.42081447963800905,221
BCI_IV_2a,5,EEGNet,0.4,0.4895833333333333,0.5673758865248227,0.4326241134751773,141
BCI_IV_2a,5,EEGNet,0.45,0.3611111111111111,0.5288461538461539,0.47115384615384615,104
BCI_IV_2a,5,EEGNet,0.5,0.2048611111111111,0.4067796610169492,0.5932203389830508,59
BCI_IV_2a,5,EEGNet,0.55,0.11805555555555555,0.3235294117647059,0.6764705882352942,34
BCI_IV_2a,5,EEGNet,0.6,0.07291666666666667,0.23809523809523808,0.7619047619047619,21
BCI_IV_2a,5,EEGNet,0.65,0.05555555555555555,0.25,0.75,16
BCI_IV_2a,5,EEGNet,0.7,0.041666666666666664,0.16666666666666666,0.8333333333333334,12
BCI_IV_2a,5,EEGNet,0.75,0.027777777777777776,0.125,0.875,8
BCI_IV_2a,5,EEGNet,0.8,0.017361111111111112,0.2,0.8,5
BCI_IV_2a,5,EEGNet,0.85,0.006944444444444444,0.5,0.5,2
BCI_IV_2a,5,EEGNet,0.9,0.003472222222222222,1.0,0.0,1
BCI_IV_2a,5,EEGNet,0.95,0.003472222222222222,1.0,0.0,1
BCI_IV_2a,5,EEGNet,1.0,0.0,,,0
BCI_IV_2a,6,EEGNet,0.0,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.05,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.1,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.15,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.2,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.25,1.0,0.6701388888888888,0.3298611111111111,288
BCI_IV_2a,6,EEGNet,0.3,0.9270833333333334,0.6629213483146067,0.33707865168539325,267
BCI_IV_2a,6,EEGNet,0.35,0.6354166666666666,0.6721311475409836,0.32786885245901637,183
BCI_IV_2a,6,EEGNet,0.4,0.4270833333333333,0.6260162601626016,0.37398373983739835,123
BCI_IV_2a,6,EEGNet,0.45,0.2361111111111111,0.5588235294117647,0.4411764705882353,68
BCI_IV_2a,6,EEGNet,0.5,0.10069444444444445,0.6206896551724138,0.3793103448275862,29
BCI_IV_2a,6,EEGNet,0.55,0.04513888888888889,0.6153846153846154,0.38461538461538464,13
BCI_IV_2a,6,EEGNet,0.6,0.017361111111111112,1.0,0.0,5
BCI_IV_2a,6,EEGNet,0.65,0.003472222222222222,1.0,0.0,1
BCI_IV_2a,6,EEGNet,0.7,0.0,,,0
BCI_IV_2a,6,EEGNet,0.75,0.0,,,0
BCI_IV_2a,6,EEGNet,0.8,0.0,,,0
BCI_IV_2a,6,EEGNet,0.85,0.0,,,0
BCI_IV_2a,6,EEGNet,0.9,0.0,,,0
BCI_IV_2a,6,EEGNet,0.95,0.0,,,0
BCI_IV_2a,6,EEGNet,1.0,0.0,,,0
BCI_IV_2a,7,EEGNet,0.0,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.05,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.1,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.15,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.2,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.25,1.0,0.3125,0.6875,288
BCI_IV_2a,7,EEGNet,0.3,0.9965277777777778,0.31010452961672474,0.6898954703832753,287
BCI_IV_2a,7,EEGNet,0.35,0.9965277777777778,0.31010452961672474,0.6898954703832753,287
BCI_IV_2a,7,EEGNet,0.4,0.9895833333333334,0.312280701754386,0.6877192982456141,285
BCI_IV_2a,7,EEGNet,0.45,0.9791666666666666,0.30851063829787234,0.6914893617021277,282
