run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.6377471204451803,0.8571428571428571,0.1428571428571429
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.8970268305027267,0.9655172413793104,0.0344827586206896
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.7988454106930156,0.9190751445086706,0.0809248554913294
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.6022541014457622,0.8571428571428571,0.1428571428571429
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.990339575882132,0.9655172413793104,0.0344827586206896
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.9665414038588908,0.9653179190751444,0.0346820809248554
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.8773299181388948,0.948051948051948,0.0519480519480519
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.9776404822051168,0.9655172413793104,0.0344827586206896
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.940056421899238,0.9710982658959536,0.0289017341040462
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.832582471503731,0.948051948051948,0.0519480519480519
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.9727785987181906,0.9913793103448276,0.0086206896551723
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.8997084421029011,0.976878612716763,0.0231213872832369
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.7730338109642857,0.9393939393939394,0.0606060606060605
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,v1_lda,max-prob,0.4,0.4027777777777778,0.3514676555859229,0.3706896551724138,0.6293103448275862
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,v1_lda,max-prob,0.6,0.6006944444444444,0.3431574607888604,0.3236994219653179,0.676300578034682
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,v1_lda,max-prob,0.8,0.8020833333333334,0.3380257261514243,0.2857142857142857,0.7142857142857143
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.5095059427184291,0.5517241379310345,0.4482758620689655
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.4426982091986622,0.5317919075144508,0.4682080924855492
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.3795498178101075,0.5108225108225108,0.4891774891774891
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.4689992636296244,0.5603448275862069,0.4396551724137931
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.415175492660626,0.5260115606936416,0.4739884393063583
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.360108062074639,0.5064935064935064,0.4935064935064935
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.8127909433286394,0.7155172413793104,0.2844827586206896
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.6824617867002081,0.6647398843930635,0.3352601156069364
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.536185337998711,0.6147186147186147,0.3852813852813853
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.6392314020808656,0.7155172413793104,0.2844827586206896
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.5593506362700237,0.6473988439306358,0.3526011560693641
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.4536758744918845,0.6233766233766234,0.3766233766233766
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.6467580460206753,0.7068965517241379,0.2931034482758621
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.5548192278278159,0.6358381502890174,0.3641618497109826
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.4495947654504394,0.6233766233766234,0.3766233766233766
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,v1_lda,max-prob,0.4,0.4027777777777778,0.4397382954156462,0.3448275862068966,0.6551724137931034
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,v1_lda,max-prob,0.6,0.6006944444444444,0.432667704011234,0.3121387283236994,0.6878612716763006
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,v1_lda,max-prob,0.8,0.8020833333333334,0.4260366703448168,0.2987012987012987,0.7012987012987013
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.4314554867677352,0.4482758620689655,0.5517241379310345
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.3779906159834763,0.4335260115606936,0.5664739884393064
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.345105477074127,0.4199134199134199,0.5800865800865801
