run,dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.4513888888888889,0.45,0.5742997051047612,0.4076923076923077,0.5923076923076923,130
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.5,0.5,0.5591903487092942,0.4305555555555556,0.5694444444444444,144
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.5520833333333334,0.55,0.5463506504367739,0.4339622641509434,0.5660377358490566,159
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.6006944444444444,0.6,0.5344408807776432,0.4277456647398844,0.5722543352601156,173
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.6527777777777778,0.65,0.52210337069397,0.4361702127659574,0.5638297872340425,188
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.7013888888888888,0.7,0.510157824864917,0.4306930693069307,0.5693069306930693,202
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.75,0.75,0.502959664238158,0.4305555555555556,0.5694444444444444,216
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.8020833333333334,0.8,0.4965081856619711,0.4242424242424242,0.5757575757575758,231
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.8506944444444444,0.85,0.4806758659619647,0.436734693877551,0.563265306122449,245
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.9027777777777778,0.9,0.4369241509945945,0.4499999999999999,0.55,260
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.9513888888888888,0.95,0.4037030208632702,0.4562043795620438,0.5437956204379562,274
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,1.0,1.0,0.286641784282706,0.4583333333333333,0.5416666666666666,288
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.0520833333333333,0.05,0.978438223573206,0.0666666666666666,0.9333333333333332,15
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.1006944444444444,0.1,0.9558545947361488,0.0689655172413793,0.9310344827586208,29
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.1527777777777778,0.15,0.9229095809810928,0.0909090909090909,0.9090909090909092,44
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.2013888888888889,0.2,0.9004490482029812,0.086206896551724,0.913793103448276,58
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.25,0.25,0.8871571031035518,0.1111111111111111,0.8888888888888888,72
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.3020833333333333,0.3,0.8602614460906702,0.0919540229885057,0.9080459770114944,87
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.3506944444444444,0.35,0.8353369432895816,0.0990099009900989,0.900990099009901,101
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4027777777777778,0.4,0.8090886910497767,0.1034482758620689,0.896551724137931,116
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4513888888888889,0.45,0.789496333296322,0.0923076923076923,0.9076923076923076,130
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.5,0.5,0.7736825311067715,0.1041666666666666,0.8958333333333334,144
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.5520833333333334,0.55,0.7361951288793652,0.1069182389937106,0.8930817610062893,159
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6006944444444444,0.6,0.7098645160321977,0.1329479768786127,0.8670520231213873,173
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6527777777777778,0.65,0.681482389369338,0.1329787234042553,0.8670212765957447,188
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.7013888888888888,0.7,0.6602926588351051,0.1435643564356435,0.8564356435643564,202
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.75,0.75,0.6292683106193154,0.1527777777777778,0.8472222222222222,216
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8020833333333334,0.8,0.5862088735874477,0.1645021645021644,0.8354978354978355,231
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8506944444444444,0.85,0.5674340225361273,0.1795918367346939,0.8204081632653061,245
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.9027777777777778,0.9,0.5374663433487051,0.1923076923076923,0.8076923076923077,260
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.9513888888888888,0.95,0.5070850940112531,0.2153284671532846,0.7846715328467153,274
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,1.0,1.0,0.3727943944563171,0.2222222222222222,0.7777777777777778,288
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.0520833333333333,0.05,0.991154622634547,0.0666666666666666,0.9333333333333332,15
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.1006944444444444,0.1,0.9812234531944348,0.0689655172413793,0.9310344827586208,29
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.1527777777777778,0.15,0.9591956416353236,0.0909090909090909,0.9090909090909092,44
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.2013888888888889,0.2,0.9446228725488722,0.1034482758620689,0.896551724137931,58
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.25,0.25,0.93097334961075,0.1111111111111111,0.8888888888888888,72
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.3020833333333333,0.3,0.915028768638774,0.0919540229885057,0.9080459770114944,87
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.3506944444444444,0.35,0.8898942452818918,0.0990099009900989,0.900990099009901,101
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.4027777777777778,0.4,0.8703573785774744,0.1034482758620689,0.896551724137931,116
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.4513888888888889,0.45,0.8530193883803464,0.0923076923076923,0.9076923076923076,130
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.5,0.5,0.8291851237497425,0.0972222222222222,0.9027777777777778,144
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.5520833333333334,0.55,0.7912689386314397,0.1194968553459119,0.8805031446540881,159
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.6006944444444444,0.6,0.758220598313273,0.1271676300578035,0.8728323699421965,173
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.6527777777777778,0.65,0.7341627541370169,0.1329787234042553,0.8670212765957447,188
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.7013888888888888,0.7,0.7081585312825613,0.1485148514851485,0.8514851485148515,202
