run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.3548824567747541,0.5108225108225108,0.4891774891774891
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.5432657015637331,0.5086206896551724,0.4913793103448276
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.4697715675539423,0.4971098265895953,0.5028901734104047
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.4087320673748176,0.5064935064935064,0.4935064935064935
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.6826042484271346,0.7241379310344828,0.2758620689655172
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.592385024582769,0.7456647398843931,0.2543352601156069
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.5374121373969962,0.7272727272727273,0.2727272727272727
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.716465346213511,0.7241379310344828,0.2758620689655172
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.6193450369455883,0.7398843930635838,0.2601156069364162
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.5598952664242393,0.7402597402597403,0.2597402597402597
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.6200474896188232,0.7068965517241379,0.2931034482758621
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.5535368062987323,0.7109826589595376,0.2890173410404624
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.5004858867660188,0.6883116883116883,0.3116883116883117
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5563305953738215,0.4741379310344827,0.5258620689655172
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5384421341504679,0.3468208092485549,0.653179190751445
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5136545545131977,0.3073593073593073,0.6926406926406927
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.2841862731583606,0.4741379310344827,0.5258620689655172
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.2769212413406928,0.4797687861271676,0.5202312138728324
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.2697755492084184,0.4415584415584415,0.5584415584415585
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.2979120014681708,0.4655172413793103,0.5344827586206897
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.2879311809475833,0.4855491329479768,0.5144508670520231
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.2777415251352045,0.4415584415584415,0.5584415584415585
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.5369267044376659,0.7327586206896551,0.2672413793103448
