run,bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,2,0.2,0.3,1,0.287111246392535,0.0,0.287111246392535,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,3,0.3,0.4,15,0.3660520845826187,0.6666666666666666,0.3006145820840479,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,4,0.4,0.5,16,0.4504721744816772,0.5625,0.1120278255183228,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,8,0.5340958569438834,0.625,0.0909041430561166,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,2,0.6191249940402135,1.0,0.3808750059597865,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,0,,,,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IIIa,k6b,v1_lda
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,2,0.2,0.3,3,0.2866807887048414,0.0,0.2866807887048414,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,3,0.3,0.4,26,0.3648644997144058,0.5,0.1351355002855941,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,4,0.4,0.5,11,0.438705865567673,0.5454545454545454,0.1067486798868724,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,2,0.561847660755765,1.0,0.438152339244235,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,0,,,,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IIIa,l1b,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IIIa,l1b,v1_lda
calibration_ablation_per_model_temp_s2_e10,0,0.0,0.1,0,,,,BCI_IV_2a,1,v1_lda
