run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
moabb_smoke_3datasets_lda,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3922461392974185,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.1971776385614611,0.7109826589595376,0.2890173410404624,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560445501612575,264,0.3825757575757575,0.2978048225659691,0.7288017891068067,0.0378521537626552,0.4528301886792453,0.5471698113207547,0.6022727272727273
moabb_smoke_3datasets_lda,Cho2017,1,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.5635097257943762,70,0.5571428571428572,0.5219211280017625,0.4768943740828161,0.0553491460667174,0.6428571428571429,0.3571428571428571,0.6
moabb_smoke_3datasets_lda,PhysionetMI,1,held_out_run,v1_lda,True,True,max-prob,0.6,0.5933175796169595,15,0.7333333333333333,0.7321428571428572,0.4465126379601383,0.1352936173737398,0.7777777777777778,0.2222222222222222,0.6
moabb_smoke_3datasets_lda,BNCI2014_001,1,held_out_session,v1_lda,True,True,max-prob,0.6,0.5798175212648969,144,0.7777777777777778,0.777391304347826,0.3797194968566885,0.1646933440887492,0.8505747126436781,0.1494252873563218,0.6041666666666666
smoke_iiia_lda,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
smoke_iiia_lda,BCI_IIIa,k3b,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.6106219100108954,63,0.8571428571428571,0.85766065830721,0.288678174674383,0.2676200758663325,1.0,0.0,0.6031746031746031
smoke_iiia_lda,BCI_IIIa,k6b,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.41002454760375,42,0.6190476190476191,0.5920670995670996,0.5877298108494169,0.1923275795789268,0.6153846153846154,0.3846153846153846,0.6190476190476191
smoke_iiia_lda,BCI_IIIa,l1b,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.3748726229568215,42,0.5,0.4653607262302914,0.6226126256289278,0.1529548935900961,0.6923076923076923,0.3076923076923077,0.6190476190476191
moabb_5subj_3datasets_lda,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.561546792123562,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8901734104046243,0.1098265895953757,0.6006944444444444
moabb_5subj_3datasets_lda,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431588691591489,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.3236994219653179,0.676300578034682,0.6006944444444444
