dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,4,v1_lda,max-prob,0.4027777777777778,0.4,0.35146765558592297,0.6293103448275862,0.3706896551724138,116
BCI_IV_2a,4,v1_lda,max-prob,0.4513888888888889,0.45,0.3498462269794253,0.6307692307692307,0.36923076923076925,130
BCI_IV_2a,4,v1_lda,max-prob,0.5,0.5,0.34790710860842866,0.6527777777777778,0.3472222222222222,144
BCI_IV_2a,4,v1_lda,max-prob,0.5520833333333334,0.55,0.3456713979630974,0.679245283018868,0.32075471698113206,159
BCI_IV_2a,4,v1_lda,max-prob,0.6006944444444444,0.6,0.3431574607888604,0.676300578034682,0.3236994219653179,173
BCI_IV_2a,4,v1_lda,max-prob,0.6527777777777778,0.65,0.3417209461564733,0.6861702127659575,0.31382978723404253,188
BCI_IV_2a,4,v1_lda,max-prob,0.7013888888888888,0.7,0.34061009969003414,0.698019801980198,0.30198019801980197,202
BCI_IV_2a,4,v1_lda,max-prob,0.75,0.75,0.33969576157627374,0.7083333333333333,0.2916666666666667,216
BCI_IV_2a,4,v1_lda,max-prob,0.8020833333333334,0.8,0.33802572615142434,0.7142857142857143,0.2857142857142857,231
BCI_IV_2a,4,v1_lda,max-prob,0.8506944444444444,0.85,0.3366916095464399,0.726530612244898,0.27346938775510204,245
BCI_IV_2a,4,v1_lda,max-prob,0.9027777777777778,0.9,0.3356816462496878,0.7307692307692308,0.2692307692307692,260
BCI_IV_2a,4,v1_lda,max-prob,0.9513888888888888,0.95,0.334342063551236,0.7408759124087592,0.2591240875912409,274
BCI_IV_2a,4,v1_lda,max-prob,1.0,1.0,0.33235575141931767,0.75,0.25,288
BCI_IV_2a,5,v1_lda,max-prob,0.052083333333333336,0.05,0.46237678888524913,0.7333333333333334,0.26666666666666666,15
BCI_IV_2a,5,v1_lda,max-prob,0.10069444444444445,0.1,0.45622321214183964,0.6896551724137931,0.3103448275862069,29
BCI_IV_2a,5,v1_lda,max-prob,0.1527777777777778,0.15,0.4520426999665072,0.6818181818181819,0.3181818181818182,44
BCI_IV_2a,5,v1_lda,max-prob,0.2013888888888889,0.2,0.4479850440791853,0.6206896551724138,0.3793103448275862,58
BCI_IV_2a,5,v1_lda,max-prob,0.25,0.25,0.4458130050713327,0.6527777777777778,0.3472222222222222,72
BCI_IV_2a,5,v1_lda,max-prob,0.3020833333333333,0.3,0.4433879574550904,0.6436781609195402,0.3563218390804598,87
BCI_IV_2a,5,v1_lda,max-prob,0.3506944444444444,0.35,0.4414587889619793,0.6435643564356436,0.3564356435643564,101
BCI_IV_2a,5,v1_lda,max-prob,0.4027777777777778,0.4,0.4397382954156462,0.6551724137931034,0.3448275862068966,116
BCI_IV_2a,5,v1_lda,max-prob,0.4513888888888889,0.45,0.43739439614404685,0.6692307692307693,0.33076923076923076,130
BCI_IV_2a,5,v1_lda,max-prob,0.5,0.5,0.43578740621440004,0.7013888888888888,0.2986111111111111,144
BCI_IV_2a,5,v1_lda,max-prob,0.5520833333333334,0.55,0.4338055577245749,0.7044025157232705,0.29559748427672955,159
BCI_IV_2a,5,v1_lda,max-prob,0.6006944444444444,0.6,0.432667704011234,0.6878612716763006,0.31213872832369943,173
BCI_IV_2a,5,v1_lda,max-prob,0.6527777777777778,0.65,0.4309311645864335,0.6968085106382979,0.30319148936170215,188
BCI_IV_2a,5,v1_lda,max-prob,0.7013888888888888,0.7,0.42941601583971073,0.7029702970297029,0.297029702970297,202
BCI_IV_2a,5,v1_lda,max-prob,0.75,0.75,0.42831798614601524,0.6944444444444444,0.3055555555555556,216
BCI_IV_2a,5,v1_lda,max-prob,0.8020833333333334,0.8,0.42603667034481685,0.7012987012987013,0.2987012987012987,231
BCI_IV_2a,5,v1_lda,max-prob,0.8506944444444444,0.85,0.4241250588994694,0.7020408163265306,0.2979591836734694,245
BCI_IV_2a,5,v1_lda,max-prob,0.9027777777777778,0.9,0.42106418379792143,0.7,0.3,260
BCI_IV_2a,5,v1_lda,max-prob,0.9513888888888888,0.95,0.418278166669044,0.6934306569343065,0.30656934306569344,274
BCI_IV_2a,5,v1_lda,max-prob,1.0,1.0,0.3990797563062235,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,6,v1_lda,max-prob,0.052083333333333336,0.05,0.6013778425987218,0.6666666666666667,0.3333333333333333,15
BCI_IV_2a,6,v1_lda,max-prob,0.10069444444444445,0.1,0.5903937143539143,0.5862068965517242,0.41379310344827586,29
BCI_IV_2a,6,v1_lda,max-prob,0.1527777777777778,0.15,0.5781053199297771,0.5227272727272727,0.4772727272727273,44
BCI_IV_2a,6,v1_lda,max-prob,0.2013888888888889,0.2,0.572202587016544,0.5344827586206897,0.46551724137931033,58
BCI_IV_2a,6,v1_lda,max-prob,0.25,0.25,0.5684445856731489,0.5416666666666667,0.4583333333333333,72
BCI_IV_2a,6,v1_lda,max-prob,0.3020833333333333,0.3,0.560739405282813,0.5632183908045977,0.4367816091954023,87
BCI_IV_2a,6,v1_lda,max-prob,0.3506944444444444,0.35,0.5554496827132545,0.6039603960396039,0.39603960396039606,101
BCI_IV_2a,6,v1_lda,max-prob,0.4027777777777778,0.4,0.5513657381852063,0.6379310344827587,0.3620689655172414,116
BCI_IV_2a,6,v1_lda,max-prob,0.4513888888888889,0.45,0.5443145508439627,0.6538461538461539,0.34615384615384615,130
BCI_IV_2a,6,v1_lda,max-prob,0.5,0.5,0.5396564108008491,0.6736111111111112,0.3263888888888889,144
BCI_IV_2a,6,v1_lda,max-prob,0.5520833333333334,0.55,0.5357688729041772,0.6666666666666667,0.3333333333333333,159
BCI_IV_2a,6,v1_lda,max-prob,0.6006944444444444,0.6,0.5319333922711972,0.676300578034682,0.3236994219653179,173
BCI_IV_2a,6,v1_lda,max-prob,0.6527777777777778,0.65,0.5271438191538612,0.6808510638297872,0.3191489361702128,188
BCI_IV_2a,6,v1_lda,max-prob,0.7013888888888888,0.7,0.5227233345519108,0.693069306930693,0.3069306930693069,202
BCI_IV_2a,6,v1_lda,max-prob,0.75,0.75,0.5173467900826447,0.7037037037037037,0.2962962962962963,216
